field,size,desc,columns
"GTCBSA","5","SPECIFIC METROPOLITAN CBSA CODE (SEE GEOGRAPHIC ATTACHMENT)","96-100"
"GTCO","3","FIPS COUNTY CODE","101-103"
"GTCBSAST","1","PRINCIPAL CITY/BALANCE STATUS","104-104"
"GTMETSTA","1","METROPOLITAN STATUS","105-105"
"GTINDVPC","1","INDIVIDUAL PRINCIPAL CITY","106-106"
"GTCBSASZ","1","Metropolitan Area (CBSA) SIZE","107-107"
"GTCSA","3","Consolidated Statistical Area (CSA) FIPS CODE (SEE GEOGRAPHIC ATTACHMENT)","108-110"
"FILLER","3","FILLER","1-113"
"FILLER","2","FILLER","4-117"
"PERRP","2","RELATIONSHIP TO REFERENCE PERSON","118-119"
"FILLER","2","FILLER","0-121"
"PRTAGE","2","PERSONS AGE","122-123"
"PRTFAGE","1","TOP CODE FLAG FOR AGE","124-124"
"PEMARITL","2","MARITAL STATUS","125-126"
"PESPOUSE","2","LINE NUMBER OF SPOUSE","127-128"
"PESEX","2","SEX","129-130"
"PEAFEVER","2","DID YOU EVER SERVE ON ACTIVE DUTY IN THE U.S. ARMED FORCES?","131-132"
"FILLER","2","FILLER","3-134"
"PEAFNOW","2","ARE YOU NOW IN THE ARMED FORCES","135-136"
"PEEDUCA","2","HIGHEST LEVEL OF SCHOOL COMPLETED OR DEGREE RECEIVED","137-138"
"PTDTRACE","2","RACE","139-140"
"PRDTHSP","2","DETAILED HISPANIC ORIGIN GROUP Revised January 2014","141-142"
"PUCHINHH","2","CHANGE IN HOUSEHOLD COMPOSITION","143-144"
"FILLER","2","FILLER","5-146"
"PULINENO","2","PERSON'S LINE NUMBER","147-148"
"FILLER","2","FILLER","9-150"
"PRFAMNUM","2","FAMILY NUMBER RECODE","151-152"
"PRFAMREL","2","FAMILY RELATIONSHIP RECODE","153-154"
"PRFAMTYP","2","FAMILY TYPE RECODE","155-156"
"PEHSPNON","2","HISPANIC OR NON-HISPANIC","157-158"
"PRMARSTA","2","MARITAL STATUS BASED ON ARMED FORCES PARTICIPATION","159-160"
"PRPERTYP","2","TYPE OF PERSON RECORD RECODE","161-162"
"PENATVTY","3","COUNTRY OF BIRTH","163-165"
"PEMNTVTY","3","MOTHER'S COUNTRY OF BIRTH","166-168"
"PEFNTVTY","3","FATHER'S COUNTRY OF BIRTH","169-171"
"PRCITSHP","2","CITIZENSHIP STATUS","172-173"
"PRCITFLG","2","CITIZENSHIP ALLOCATION FLAG","174-175"
"PRINUYER","2","IMMIGRANT'S YEAR OF ENTRY","176-177"
"PUSLFPRX","2","LABOR FORCE INFORMATION COLLECTED BY SELF OR PROXY RESPONSE","178-179"
"PEMLR","2","MONTHLY LABOR FORCE RECODE","180-181"
"PUWK","2","LAST WEEK, DID YOU DO ANY WORK FOR (EITHER) PAY (OR PROFIT)?","182-183"
"PUBUS1","2","LAST WEEK, DID YOU DO ANY UNPAID WORK IN THE FAMILY BUSINESS OR FARM?","184-185"
"PUBUS2OT","2","DO YOU RECEIVE ANY PAYMENTS OR PROFITS FROM THE BUSINESS?","186-187"
"PUBUSCK1","2","CHECK ITEM 1 FILTER FOR QUESTIONS ON UNPAID WORK","188-189"
"PUBUSCK2","2","CHECK ITEM 2 SKIPS OWNERS OF FAMILY BUSINES WHO DID NOT WORK LAST WEEK","190-191"
"PUBUSCK3","2","CHECK ITEM 3","192-193"
"PUBUSCK4","2","CHECK ITEM 4","194-195"
"PURETOT","2","RETIREMENT STATUS (LAST MONTH YOU WERE REPORTED TO BE RETIRED, ARE YOU STILL RETIRED THIS MONTH?) VALID ENTRIES","196-197"
"PUDIS","2","DISABILITY STATUS (LAST MONTH YOU WERE REPORTED TO HAVE A DISABILITY.) DOES YOUR DISABILITY CONTINUE TO PREVENT YOU FROM DOING ANY KIND OF WORK FOR THE NEXT 6 MONTHS?","198-199"
"PERET1","2","DO YOU CURRENTLY WANT A JOB, EITHER FULL OR PART-TIME?","200-201"
"PUDIS1","2","DOES YOUR DISABILITY PREVENT YOU FROM ACCEPTING ANY KIND OF WORK DURING THE NEXT SIX MONTHS?","202-203"
"PUDIS2","2","DO YOU HAVE A DISABILITY THAT PREVENTS YOU FROM ACCEPTING ANY KIND OF WORK DURING THE NEXT SIX MONTHS?","204-205"
"PUABSOT","2","LAST WEEK DID YOU HAVE A JOB EITHER FULL OR PART-TIME?","206-207"
"PULAY","2","LAST WEEK, WERE YOU ON LAYOFF FROM A JOB?","208-209"
"PEABSRSN","2","WHAT IS THE MAIN REASON YOU WERE ABSENT FROM WORK LAST WEEK?","210-211"
"PEABSPDO","2","ARE YOU BEING PAID BY YOUR EMPLOYER FOR ANY OF THE TIME OFF LAST WEEK?","212-213"
"PEMJOT","2","DO YOU HAVE MORE THAN ONE JOB?","214-215"
"PEMJNUM","2","ALTOGETHER, HOW MANY JOBS DID YOU HAVE?","216-217"
"PEHRUSL1","2","HOW MANY HOURS PER WEEK DO YOU USUALLY WORK AT YOUR MAIN JOB?","218-219"
"PEHRUSL2","2","HOW MANY HOURS PER WEEK DO YOU USUALLY WORK AT YOUR OTHER (JOB/JOBS)?","220-221"
"PEHRFTPT","2","DO YOU USUALLY WORK 35 HOURS OR MORE PER WEEK?","222-223"
"PEHRUSLT","3","SUM OF HRUSL1 AND HRUSL2.","224-226"
"PEHRWANT","2","DO YOU WANT TO WORK A FULL-TIME WORK WEEK OF 35 HOURS OR MORE PER WEEK?","227-228"
"PEHRRSN1","2","WHAT IS YOUR MAIN REASON FOR WORKING PART-TIME?","229-230"
"PEHRRSN2","2","WHAT IS THE MAIN REASON YOU DO NOT WANT TO WORK FULL-TIME?","231-232"
"PEHRRSN3","2","WHAT IS THE MAIN REASON YOU WORKED LESS THAN 35 HOURS LAST WEEK?","233-234"
"PUHROFF1","2","LAST WEEK, DID YOU LOSE OR TAKE OFF ANY HOURS FROM YOUR JOB, FOR ANY REASON SUCH AS ILLNESS, SLACK WORK, VACATION, OR HOLIDAY?","235-236"
"PUHROFF2","2","HOW MANY HOURS DID YOU TAKE OFF?","237-238"
"PUHROT1","2","LAST WEEK, DID YOU WORK ANY OVERTIME OR EXTRA HOURS (AT YOUR MAIN JOB) THAT YOU DO NOT USUALLY WORK?","239-240"
"PUHROT2","2","HOW MANY ADDITIONAL HOURS DID YOU WORK?","241-242"
"PEHRACT1","2","LAST WEEK, HOW MANY HOURS DID YOU ACTUALLY WORK AT YOUR JOB?","243-244"
"PEHRACT2","2","LAST WEEK, HOW MANY HOURS DID YOU ACTUALLY WORK AT YOUR OTHER (JOB/JOBS)","245-246"
"PEHRACTT","3","SUM OF PEHRACT1 AND PEHRACT2.","247-249"
"PEHRAVL","2","LAST WEEK, COULD YOU HAVE WORKED FULL-TIME IF THE HOURS HAD BEEN AVAILABLE?","250-251"
"PTTLWK","2","TELEWORK AT HOME","252-253"
"PTTLWKHR","2","NUMBER OF HOURS TELEWORKED","254-255"
"FILLER","1","FILLER","6-256"
"PUHRCK1","2","CHECK ITEM 1","257-258"
"PUHRCK2","2","CHECK ITEM 2 SKIPS PERSONS RESPONDING YES TO HRFTPT OUT OF PT SERIES","259-260"
"PUHRCK3","2","CHECK ITEM 3","261-262"
"PUHRCK4","2","CHECK ITEM 4","263-264"
"PUHRCK5","2","CHECK ITEM 5","265-266"
"PUHRCK6","2","CHECK ITEM 6","267-268"
"PUHRCK7","2","CHECK ITEM 7","269-270"
"PUHRCK12","2","CHECK ITEM 12","271-272"
"PULAYDT","2","HAS YOUR EMPLOYER GIVEN YOU A DATE TO RETURN TO WORK?","273-274"
"PULAY6M","2","HAVE YOU BEEN GIVEN ANY INDICATION THAT YOU WILL BE RECALLED TO WORK WITHIN THE NEXT 6 MONTHS?","275-276"
"PELAYAVL","2","COULD YOU HAVE RETURNED TO WORK LAST WEEK IF YOU HAD BEEN RECALLED?","277-278"
"PULAYAVR","2","WHY IS THAT?","279-280"
"PELAYLK","2","EVEN THOUGH YOU ARE TO BE CALLED BACK TO WORK, HAVE YOU BEEN LOOKING FOR WORK DURING THE LAST 4 WEEKS.","281-282"
"PELAYDUR","3","DURATION OF LAYOFF EDITED UNIVERSE: PELAYLK = 1, 2","283-285"
"PELAYFTO","2","FT/PT STATUS OF JOB FROM WHICH SAMPLE PERSON WAS ON LAYOFF FROM","286-287"
"PULAYCK1","2","CHECK ITEM 1","288-289"
"PULAYCK2","2","CHECK ITEM 2 SCREEN FOR DEPENDENT LAYOFF","290-291"
"PULAYCK3","2","CHECK ITEM 3 FILTER FOR DEPENDENT I & O","292-293"
"PULK","2","HAVE YOU BEEN DOING ANYTHING TO FIND WORK DURING THE LAST 4 WEEKS?","294-295"
"PELKM1","2","WHAT ARE ALL OF THE THINGS YOU HAVE DONE TO FIND WORK DURING THE LAST 4 WEEKS? (FIRST METHOD)","296-297"
"PULKM2","2","ANYTHING ELSE? (SECOND METHOD)","298-299"
"PULKM3","2","SAME AS PULKM2 (THIRD METHOD)","300-301"
"PULKM4","2","SAME AS PULKM2 (FOURTH METHOD)","302-303"
"PULKM5","2","SAME AS PULKM2 (FIFTH METHOD)","304-305"
"PULKM6","2","SAME AS PULKM2 (SIXTH METHOD)","306-307"
"PULKDK1","2","YOU SAID YOU HAVE BEEN TRYING TO FIND WORK. HOW DID YOU GO ABOUT LOOKING? (FIRST METHOD)","308-309"
"PULKDK2","2","ANYTHING ELSE? (SECOND METHOD)","310-311"
"PULKDK3","2","SAME AS PULKDK2 (THIRD METHOD)","312-313"
"PULKDK4","2","SAME AS PULKDK2 (FOURTH METHOD)","314-315"
"PULKDK5","2","SAME AS PULKDK2 (FIFTH METHOD)","316-317"
"PULKDK6","2","SAME AS PULKDK2 (SIXTH METHOD)","318-319"
"PULKPS1","2","CAN YOU TELL ME MORE ABOUT WHAT YOU DID TO SEARCH FOR WORK? (FIRST METHOD)","320-321"
"PULKPS2","2","ANYTHING ELSE? (SECOND METHOD)","322-323"
"PULKPS3","2","SAME AS PULKPS2 (THIRD METHOD)","324-325"
"PULKPS4","2","SAME AS PULKPS2 (FOURTH METHOD)","326-327"
"PULKPS5","2","SAME AS PULKPS2 (FIFTH METHOD)","328-329"
"PULKPS6","2","SAME AS PULKPS2 (SIXTH METHOD)","330-331"
"PELKAVL","2","LAST WEEK, COULD YOU HAVE STARTED A JOB IF ONE HAD BEEN OFFERED?","332-333"
"PULKAVR","2","WHY IS THAT?","334-335"
"PELKLL1O","2","BEFORE YOU STARTED LOOKING FOR WORK, WHAT WERE YOU DOING: WORKING, GOING TO SCHOOL, OR SOMETHING ELSE?","336-337"
"PELKLL2O","2","DID YOU LOSE OR QUIT THAT JOB, OR WAS IT A TEMPORARY JOB THAT ENDED?","338-339"
"PELKLWO","2","WHEN LAST WORKED","340-341"
"PELKDUR","3","DURATION OF JOB SEEKING","342-344"
"PELKFTO","2","FT/PT STATUS OF JOBSEEKER","345-346"
"PEDWWNTO","2","DO YOU CURRENTLY WANT A JOB, EITHER FULL OR PART TIME?","347-348"
"PEDWRSN","2","WHAT IS THE MAIN REASON YOU WERE NOT LOOKING FOR WORK DURING THE LAST 4 WEEKS?","349-350"
"PEDWLKO","2","DID YOU LOOK FOR WORK AT ANY TIME IN THE LAST 12 MONTHS","351-352"
"PEDWWK","2","DID YOU ACTUALLY WORK AT A JOB OR BUSINESS DURING THE LAST 12 MONTHS?","353-354"
"PEDW4WK","2","DID YOU DO ANY OF THIS WORK DURING THE LAST 4 WEEKS?","355-356"
"PEDWLKWK","2","SINCE YOU LEFT THAT JOB OR BUSINESS HAVE YOU LOOKED FOR WORK?","357-358"
"PEDWAVL","2","LAST WEEK, COULD YOU HAVE STARTED A JOB IF ONE HAD BEEN OFFERED?","359-360"
"PEDWAVR","2","WHY IS THAT?","361-362"
"PUDWCK1","2","SCREEN FOR DISCOURAGED WORKERS","363-364"
"PUDWCK2","2","SCREEN FOR DISABLED","365-366"
"PUDWCK3","2","FILTER FOR RETIRED","367-368"
"PUDWCK4","2","FILTER FOR PASSIVE JOB SEEKERS","369-370"
"PUDWCK5","2","FILTER FOR PASSIVE JOB SEEKERS","371-372"
"PEJHWKO","2","HAVE YOU WORKED AT A JOB OR BUSINESS AT ANY TIME DURING THE PAST 12 MONTHS?","373-374"
"PUJHDP1O","2","DID YOU DO ANY OF THIS WORK IN THE LAST 4 WEEKS?","375-376"
"PEJHRSN","2","WHAT IS THE MAIN REASON YOU LEFT YOUR LAST JOB?","377-378"
"PEJHWANT","2","DO YOU INTEND TO LOOK FOR WORK DURING THE NEXT 12 MONTHS?","379-380"
"PUJHCK1","2","FILTER FOR OUTGOING ROTATIONS","381-382"
"PUJHCK2","2","FILTER FOR PERSONS GOING THROUGH THE I AND O SERIES","383-384"
"PRABSREA","2","REASON NOT AT WORK AND PAY STATUS","385-386"
"PRCIVLF","2","CIVILIAN LABOR FORCE","387-388"
"PRDISC","2","DISCOURAGED WORKER RECODE","389-390"
"PREMPHRS","2","REASON NOT AT WORK OR HOURS AT WORK","391-392"
"PREMPNOT","2","MLR - EMPLOYED, UNEMPLOYED, OR NILF","393-394"
"PREXPLF","2","EXPERIENCED LABOR FORCE EMPLOYMENT","395-396"
"PRFTLF","2","FULL TIME LABOR FORCE","397-398"
"PRHRUSL","2","USUAL HOURS WORKED WEEKLY","399-400"
"PRJOBSEA","2","JOB SEARCH RECODE","401-402"
"PRPTHRS","2","AT WORK 1-34 BY HOURS AT WORK","403-404"
"PRPTREA","2","DETAILED REASON FOR PART-TIME","405-406"
"PRUNEDUR","3","DURATION OF UNEMPLOYMENT FOR LAYOFF AND LOOKING RECORDS","407-409"
"FILLER","2","FILLER","0-411"
"PRUNTYPE","2","REASON FOR UNEMPLOYMENT","412-413"
"PRWKSCH","2","LABOR FORCE BY TIME WORKED OR LOST","414-415"
"PRWKSTAT","2","FULL/PART-TIME WORK STATUS","416-417"
"PRWNTJOB","2","NILF RECODE - WANT A JOB OR OTHER NILF","418-419"
"PUJHCK3","2","JOB HISTORY CHECK ITEM","420-421"
"PUJHCK4","2","SCREEN FOR DEPENDENT NILF","422-423"
"PUJHCK5","2","SCREEN FOR DEPENDENT NILF","424-425"
"PUIODP1","2","LAST MONTH, IT WAS REPORTED THAT YOU WORKED FOR (EMPLOYER'S NAME). DO STILL WORK FOR (EMPLOYER'S NAME) (AT YOUR MAIN JOB)?","426-427"
"PUIODP2","2","HAVE THE USUAL ACTIVITIES AND DUTIES OF YOUR JOB CHANGED SINCE LAST MONTH?","428-429"
"PUIODP3","2","LAST MONTH YOU WERE REPORTED AS (A/AN) (OCCUPATION) AND YOUR USUAL ACTIVITIES WERE (DESCRIPTION). IS THIS AN ACCURATE DESCRIPTION OF YOUR CURRENT JOB?","430-431"
"PEIO1COW","2","INDIVIDUAL CLASS OF WORKER CODE ON FIRST JOB","432-433"
"PUIO1MFG","2","IS THIS BUSINESS OR ORGANIZATION MAINLY MANUFACTURING, RETAIL TRADE, WHOLESALE TRADE, OR SOMETHING ELSE?","434-435"
"FILLER","6","FILLER","6-441"
"PEIO2COW","2","INDIVIDUAL CLASS OF WORKER ON SECOND JOB. NOTE: FOR THOSE SELF-EMPLOYED UNINCORPORATED ON THEIR FIRST JOB, THIS SHOULD HAVE A RESPONSE EVERY MONTH. FOR ALL OTHERS, THIS SHOULD ONLY HAVE A VALUE IN OUT-GOING ROTATIONS.","442-443"
"PUIO2MFG","2","IS THIS BUSINESS OR ORGANIZATION MAINLY MANUFACTURING, RETAIL TRADE, WHOLESALE TRADE, OR SOMETHING ELSE?","444-445"
"FILLER","6","FILLER","6-451"
"PUIOCK1","2","I & O CHECK ITEM 1 SCREEN FOR DEPENDENT I AND O","452-453"
"PUIOCK2","2","I & O CHECK ITEM 2 SCREEN FOR PREVIOUS MONTHS I AND O CASES","454-455"
"PUIOCK3","2","I & O CHECK ITEM 3","456-457"
"PRIOELG","2","INDUSTRY AND OCCUPATION ELIGIBILITY FLAG","458-459"
"PRAGNA","2","AGRICULTURE/ NON-AGRICULTURE INDUSTRY","460-461"
"PRCOW1","2","CLASS OF WORKER RECODE - JOB 1","462-463"
"PRCOW2","2","CLASS OF WORKER RECODE - JOB 2","464-465"
"PRCOWPG","2","COW - PRIVATE OR GOVERNMENT","466-467"
"PRDTCOW1","2","DETAILED CLASS OF WORKER RECODE - JOB 1","468-469"
"PRDTCOW2","2","DETAILED CLASS OF WORKER RECODE - JOB 2","470-471"
"PRDTIND1","2","DETAILED INDUSTRY RECODE - JOB 1","472-473"
"PRDTIND2","2","DETAILED INDUSTRY RECODE - JOB 2","474-475"
"PRDTOCC1","2","DETAILED OCCUPATION RECODE - JOB 1","476-477"
"PRDTOCC2","2","DETAILED OCCUPATION RECODE","478-479"
"PREMP","2","EMPLOYED PERSONS (NON-FARM & NON-PRIVATE HHLD) RECODE","480-481"
"PRMJIND1","2","MAJOR INDUSTRY RECODE - JOB 1","482-483"
"PRMJIND2","2","MAJOR INDUSTRY RECODE - JOB 2","484-485"
"PRMJOCC1","2","MAJOR OCCUPATION RECODE - JOB 1","486-487"
"PRMJOCC2","2","MAJOR OCCUPATION RECODE - JOB 2","488-489"
"PRMJOCGR","2","MAJOR OCCUPATION CATEGORIES","490-491"
"PRNAGPWS","2","NON-AGRICULTURE, PRIVATE WAGE AND SALARY WORKERS RECODE","492-493"
"PRNAGWS","2","NON-AGRICULTURE WAGE AND SALARY WORKERS RECODE","494-495"
"PRSJMJ","2","SINGLE/MULTIPLE JOBHOLDER RECODE","496-497"
"PRERELG","2","EARNINGS ELIGIBILITY FLAG","498-499"
"PEERNUOT","2","DO YOU USUALLY RECEIVE OVERTIME PAY, TIPS, OR COMMISSIONS AT YOUR JOB?","500-501"
"PEERNPER","2","PERIODICITY","502-503"
"PEERNRT","2","(EVEN THOUGH YOU TOLD ME IT IS EASIER TO REPORT YOUR EARNINGS (PERIODICITY); ARE YOU PAID AT AN HOURLY RATE ON YOUR (MAIN/THIS) JOB?","504-505"
"PEERNHRY","2","HOURLY/NONHOURLY STATUS","506-507"
"PTERNH1C","4","WHAT IS YOUR HOURLY RATE OF PAY ON THIS JOB, EXCLUDING OVERTIME PAY, TIPS OR COMMISSION? DOLLAR AMOUNT - 2 IMPLIED DECIMALS","508-511"
"PTERNH2","4","(EXCLUDING OVERTIME PAY, TIPS AND COMMISSIONS) WHAT IS YOUR HOURLY RATE OF PAY ON YOUR (MAIN/THIS) JOB? DOLLAR AMOUNT - 2 IMPLIED DECIMALS","512-515"
"PTERNH1O","4","OUT VARIABLE FOR HOURLY RATE OF PAY (2 IMPLIED DECIMALS) EDITED UNIVERSE: PEERNPER = 1","516-519"
"PTERNHLY","4","RECODE FOR HOURLY RATE 2 IMPLIED DECIMALS","520-523"
"PTHR","1","HOURLY PAY - TOP CODE","524-524"
"FILLER","1","FILLER","5-525"
"PEERNHRO","2","USUAL HOURS","525-526"
"PTERNWA","8","WEEKLY EARNINGS RECODE 2 IMPLIED DECIMALS","527-534"
"PTWK","1","WEEKLY EARNINGS - TOP CODE","535-535"
"FILLER","1","FILLER","6-536"
"PRERNMIN","2","FEDERALLY MANDATED MINIMUM WAGE RATE FLAG","536-537"
"FILLER","2","FILLER","8-539"
"PTERN","8","CALCULATED WEEKLY OVERTIME AMOUNT 2 IMPLIED DECIMALS","540-547"
"PTERN2","8","CALCULATED WEEKLY OVERTIME AMOUNT 2 IMPLIED DECIMALS","548-555"
"PTOT","1","WEEKLY OVERTIME AMOUNT - TOP CODE","556-556"
"FILLER","1","FILLER","7-557"
"FILLER","2","FILLER","7-558"
"PEERNWKP","2","HOW MANY WEEKS A YEAR DO YOU GET PAID FOR?","559-560"
"PEERNLAB","2","ON THIS JOB, ARE YOU A MEMBER OF A LABOR UNION OR OF AN EMPLOYEE ASSOCIATION SIMILAR TO A UNION?","561-562"
"PEERNCOV","2","ON THIS JOB ARE YOU COVERED BY A UNION OR EMPLOYEE ASSOCIATION CONTRACT?","563-564"
"PENLFJH","2","WHEN DID YOU LAST WORK AT A JOB OR BUSINESS?","565-566"
"PENLFRET","2","ARE YOU RETIRED FROM A JOB OR BUSINESS?","567-568"
"PENLFACT","2","WHAT BEST DESCRIBES YOUR SITUATION AT THIS TIME? FOR EXAMPLE, ARE YOU DISABLED, ILL, IN SCHOOL, TAKING CARE OF HOUSE OR FAMILY, OR SOMETHING ELSE?","569-570"
"PUNLFCK1","2","NOT IN LABOR FORCE CHECK ITEM - 1","571-572"
"PUNLFCK2","2","NOT IN LABOR FORCE CHECK ITEM - 2","573-574"
"PESCHENR","2","LAST WEEK, WERE YOU ENROLLED IN A HIGH SCHOOL, COLLEGE, OR UNIVERSITY?","575-576"
"PESCHFT","2","ARE YOU ENROLLED IN SCHOOL AS A FULL-TIME OR PART-TIME STUDENT?","577-578"
"PESCHLVL","2","WOULD THAT BE HIGH SCHOOL, COLLEGE, OR UNIVERSITY?","579-580"
"PRNLFSCH","2","NLF ACTIVITY - IN SCHOOL OR NOT IN SCHOOL","581-582"
"PWFMWGT","10","FAMILY WEIGHT (4 IMPLIED DECIMALS) ONLY USED FOR TALLYING FAMILY CHARACTERISTICS.","583-592"
"PWLGWGT","10","LONGITUDINAL WEIGHT (4 IMPLIED DECIMALS) ONLY FOUND ON ADULT RECORDS MATCHED FROM MONTH TO MONTH. (USED FOR GROSS FLOWS ANALYSIS)","593-602"
"PWORWGT","10","OUTGOING ROTATION WEIGHT (4 IMPLIED DECIMALS) USED FOR TALLYING INFORMATION COLLECTED ONLY IN OUTGOING ROTATIONS (i.e., EARNINGS, 2nd JOB I & O, DETAILED NILF)","603-612"
"PWSSWGT","10","FINAL WEIGHT (4 IMPLIED DECIMAL PLACES) USED FOR MOST TABULATIONS, CONTROLLED TO INDEPENDENT ESTIMATES FOR 1) STATES; 2) ORIGIN, SEX, AND AGE; AND 3) AGE, RACE, AND SEX.","613-622"
"PWVETWGT","10","VETERANS WEIGHT (4 IMPLIED DECIMALS) USED FOR TALLYING VETERAN'S DATA ONLY, CONTROLLED TO ESTIMATES OF VETERANS SUPPLIED BY VA.","623-632"
"PRCHLD","2","PRESENCE OF OWN CHILDREN <18 YEARS OF AGE BY SELECTED AGE GROUP","633-634"
"PRNMCHLD","2","Number of own children <18 years of age","635-636"
"PXPDEMP1","2","ALLOCATION FLAG","637-638"
"PRWERNAL","2","ALLOCATION FLAG","639-640"
"PRHERNAL","2","ALLOCATION FLAG","641-642"
"HXTENURE","2","ALLOCATION FLAG See HETENURE note.","643-644"
"HXHOUSUT","2","ALLOCATION FLAG","645-646"
"HXTELHHD","2","ALLOCATION FLAG","647-648"
"HXTELAVL","2","ALLOCATION FLAG","649-650"
"HXPHONEO","2","ALLOCATION FLAG","651-652"
"PXINUSYR","2","ALLOCATION FLAG","653-654"
"PXRRP","2","ALLOCATION FLAG","655-656"
"PXPARENT","2","ALLOCATION FLAG","657-658"
"PXAGE","2","ALLOCATION FLAG","659-660"
"PXMARITL","2","ALLOCATION FLAG","661-662"
"PXSPOUSE","2","ALLOCATION FLAG","663-664"
"PXSEX","2","ALLOCATION FLAG","665-666"
"PXAFWHN1","2","ALLOCATION FLAG","667-668"
"PXAFNOW","2","ALLOCATION FLAG","669-670"
"PXEDUCA","2","ALLOCATION FLAG","671-672"
"PXRACE1","2","ALLOCATION FLAG","673-674"
"PXNATVTY","2","ALLOCATION FLAG","675-676"
"PXMNTVTY","2","ALLOCATION FLAG","677-678"
"PXFNTVTY","2","ALLOCATION FLAG","679-680"
"PXNMEMP1","2","ALLOCATION FLAG","681-682"
"PXHSPNON","2","ALLOCATION FLAG","683-684"
"PXMLR","2","ALLOCATION FLAG","685-686"
"PXRET1","2","ALLOCATION FLAG","687-688"
"PXABSRSN","2","ALLOCATION FLAG","689-690"
"PXABSPDO","2","ALLOCATION FLAG","691-692"
"PXMJOT","2","ALLOCATION FLAG","693-694"
"PXMJNUM","2","ALLOCATION FLAG","695-696"
"PXHRUSL1","2","ALLOCATION FLAG","697-698"
"PXHRUSL2","2","ALLOCATION FLAG","699-700"
"PXHRFTPT","2","ALLOCATION FLAG","701-702"
"PXHRUSLT","2","ALLOCATION FLAG","703-704"
"PXHRWANT","2","ALLOCATION FLAG","705-706"
"PXHRRSN1","2","ALLOCATION FLAG","707-708"
"PXHRRSN2","2","ALLOCATION FLAG","709-710"
"PXHRACT1","2","ALLOCATION FLAG","711-712"
"PXHRACT2","2","ALLOCATION FLAG","713-714"
"PXHRACTT","2","ALLOCATION FLAG","715-716"
"PXHRRSN3","2","ALLOCATION FLAG","717-718"
"PXHRAVL","2","ALLOCATION FLAG","719-720"
"PXLAYAVL","2","ALLOCATION FLAG","721-722"
"PXLAYLK","2","ALLOCATION FLAG","723-724"
